[2025/07/28 06:55:06] - Namespace(backdoor_type='narcissus', batch_size=128, blend_size=32, data_dir='/home/amax/STU/DATASET/tiny-imagenet-200', dataset='cifar10', epochs=300, learning_rate=0.1, model='resnet18', model_dir='/home/boot/STU/workspaces/wzx/Samples_select/models/', num_classes=10, num_levels='36:60:12', output_dir='save_metric_10_res', poisoning_rate=4e-05, res_rate=1, res_sel='log', result_dir='narcissus_log_0.00004', seed=1, select_epoch=10, selection='res', type=None, y_target=0)
[2025/07/28 06:55:06] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC 	 TargetSum 	 CleanSum
[2025/07/28 06:55:15] - 0 	 0.100 	 9.2 	 1.8213 	 0.3524 	 2.7738 	 0.1818 	 1.8497 	 0.3728 	 0.0091 	 0.0186
[2025/07/28 06:55:24] - 1 	 0.100 	 8.6 	 1.3013 	 0.5271 	 6.2492 	 0.0088 	 1.7441 	 0.4833 	 0.0000 	 0.0000
[2025/07/28 06:55:32] - 2 	 0.100 	 8.5 	 1.0260 	 0.6377 	 6.2583 	 0.0003 	 1.3426 	 0.5257 	 0.0000 	 0.0000
[2025/07/28 06:55:41] - 3 	 0.100 	 9.0 	 0.8348 	 0.7078 	 3.9294 	 0.1330 	 1.0799 	 0.6398 	 0.0000 	 0.0000
[2025/07/28 06:55:50] - 4 	 0.100 	 9.1 	 0.6897 	 0.7593 	 5.3365 	 0.0156 	 0.8583 	 0.7140 	 0.0000 	 0.0000
[2025/07/28 06:55:59] - 5 	 0.100 	 8.9 	 0.6059 	 0.7892 	 4.0104 	 0.0707 	 0.7428 	 0.7584 	 0.0000 	 0.0000
[2025/07/28 06:56:08] - 6 	 0.100 	 9.2 	 0.5611 	 0.8062 	 3.6772 	 0.0561 	 0.7334 	 0.7514 	 0.0000 	 0.0000
[2025/07/28 06:56:17] - 7 	 0.100 	 8.8 	 0.5260 	 0.8197 	 6.3723 	 0.0021 	 0.9472 	 0.7041 	 0.0000 	 0.0000
[2025/07/28 06:56:26] - 8 	 0.100 	 9.1 	 0.4984 	 0.8290 	 5.5109 	 0.0050 	 0.6525 	 0.7792 	 0.0000 	 0.0000
[2025/07/28 06:56:35] - 9 	 0.100 	 9.2 	 0.4738 	 0.8366 	 4.2111 	 0.0653 	 0.5355 	 0.8193 	 0.0000 	 0.0000
[2025/07/28 06:56:44] - 10 	 0.100 	 8.9 	 0.4604 	 0.8439 	 5.5957 	 0.0001 	 0.5425 	 0.8072 	 0.0000 	 0.0000
[2025/07/28 06:56:53] - 11 	 0.100 	 8.7 	 0.4432 	 0.8500 	 5.1495 	 0.0004 	 0.5079 	 0.8254 	 0.0000 	 0.0000
[2025/07/28 06:57:02] - 12 	 0.100 	 8.8 	 0.4331 	 0.8521 	 6.9338 	 0.0012 	 0.4836 	 0.8366 	 0.0000 	 0.0000
[2025/07/28 06:57:10] - 13 	 0.100 	 8.7 	 0.4151 	 0.8582 	 5.6464 	 0.0074 	 0.7603 	 0.7523 	 0.0000 	 0.0000
[2025/07/28 06:57:19] - 14 	 0.100 	 8.9 	 0.4103 	 0.8590 	 3.7096 	 0.0086 	 0.5095 	 0.8277 	 0.0000 	 0.0000
[2025/07/28 06:57:28] - 15 	 0.100 	 8.8 	 0.3986 	 0.8644 	 7.1164 	 0.0006 	 0.6115 	 0.7945 	 0.0000 	 0.0000
[2025/07/28 06:57:37] - 16 	 0.100 	 8.9 	 0.3920 	 0.8654 	 5.0754 	 0.0056 	 0.9369 	 0.7252 	 0.0000 	 0.0000
[2025/07/28 06:57:46] - 17 	 0.100 	 8.7 	 0.3824 	 0.8681 	 4.9296 	 0.0214 	 0.5768 	 0.8078 	 0.0000 	 0.0000
[2025/07/28 06:57:55] - 18 	 0.100 	 8.8 	 0.3767 	 0.8720 	 8.4724 	 0.0000 	 0.6741 	 0.7804 	 0.0000 	 0.0000
[2025/07/28 06:58:03] - 19 	 0.100 	 8.7 	 0.3671 	 0.8753 	 4.9182 	 0.0306 	 0.5276 	 0.8206 	 0.0000 	 0.0000
[2025/07/28 06:58:12] - 20 	 0.100 	 8.8 	 0.3655 	 0.8742 	 3.5768 	 0.0339 	 0.5859 	 0.8068 	 0.0233 	 0.7480
[2025/07/28 06:58:20] - 21 	 0.100 	 8.3 	 0.3607 	 0.8757 	 5.3892 	 0.0060 	 0.4929 	 0.8340 	 0.0000 	 0.0000
[2025/07/28 06:58:29] - 22 	 0.100 	 8.9 	 0.3588 	 0.8774 	 2.9320 	 0.0192 	 0.5638 	 0.8197 	 0.0000 	 0.0000
[2025/07/28 06:58:37] - 23 	 0.100 	 8.4 	 0.3508 	 0.8794 	 3.7480 	 0.0324 	 0.4650 	 0.8458 	 0.0000 	 0.0000
[2025/07/28 06:58:46] - 24 	 0.100 	 8.6 	 0.3522 	 0.8805 	 2.9835 	 0.1414 	 0.5076 	 0.8296 	 0.0000 	 0.0000
[2025/07/28 06:58:55] - 25 	 0.100 	 8.7 	 0.3493 	 0.8807 	 5.3523 	 0.0017 	 0.5891 	 0.8108 	 0.0000 	 0.0000
[2025/07/28 06:59:04] - 26 	 0.100 	 9.1 	 0.3444 	 0.8828 	 4.6484 	 0.0057 	 0.5708 	 0.8188 	 0.0000 	 0.0000
[2025/07/28 06:59:13] - 27 	 0.100 	 8.8 	 0.3423 	 0.8824 	 4.1254 	 0.0098 	 0.6350 	 0.7964 	 0.0000 	 0.0000
[2025/07/28 06:59:21] - 28 	 0.100 	 8.6 	 0.3372 	 0.8852 	 3.5980 	 0.0126 	 0.5603 	 0.8151 	 0.0000 	 0.0000
[2025/07/28 06:59:30] - 29 	 0.100 	 8.7 	 0.3397 	 0.8840 	 6.1248 	 0.0003 	 0.4804 	 0.8371 	 0.0000 	 0.0000
[2025/07/28 06:59:39] - 30 	 0.100 	 8.7 	 0.3345 	 0.8856 	 6.2125 	 0.0008 	 0.5138 	 0.8296 	 0.0000 	 0.0000
[2025/07/28 06:59:47] - 31 	 0.100 	 8.6 	 0.3347 	 0.8851 	 4.5137 	 0.0300 	 0.5756 	 0.8155 	 0.0000 	 0.0000
[2025/07/28 06:59:56] - 32 	 0.100 	 8.7 	 0.3310 	 0.8878 	 2.3770 	 0.2817 	 0.5379 	 0.8267 	 0.0000 	 0.0000
[2025/07/28 07:00:04] - 33 	 0.100 	 8.6 	 0.3335 	 0.8853 	 4.8549 	 0.0000 	 0.5654 	 0.8166 	 0.0000 	 0.0000
[2025/07/28 07:00:13] - 34 	 0.100 	 8.9 	 0.3254 	 0.8904 	 4.6098 	 0.0000 	 0.5979 	 0.8133 	 0.0000 	 0.0000
[2025/07/28 07:00:22] - 35 	 0.100 	 8.7 	 0.3309 	 0.8871 	 5.8207 	 0.0001 	 0.4678 	 0.8458 	 0.0000 	 0.0000
[2025/07/28 07:00:31] - 36 	 0.100 	 8.8 	 0.3257 	 0.8889 	 5.6722 	 0.0013 	 0.7962 	 0.7579 	 0.0000 	 0.0000
[2025/07/28 07:00:39] - 37 	 0.100 	 8.3 	 0.3230 	 0.8900 	 4.7080 	 0.0006 	 0.6096 	 0.8099 	 0.0000 	 0.0000
